iter	Passed	Remaining
636	15198	8661
637	15235	8644
638	15264	8623
639	15296	8604
640	15324	8582
641	15356	8563
642	15390	8545
643	15427	8527
644	15465	8512
645	15508	8498
646	15544	8481
647	15572	8458
648	15602	8438
649	15631	8416
650	15654	8392
651	15681	8369
652	15711	8348
653	15736	8325
654	15760	8301
655	15783	8276
656	15809	8253
657	15831	8228
658	15852	8202
659	15872	8176
660	15897	8153
661	15920	8128
662	15946	8105
663	15969	8080
664	15996	8058
665	16020	8034
666	16043	8009
667	16064	7984
668	16087	7959
669	16114	7937
670	16137	7912
671	16159	7887
672	16181	7862
673	16206	7838
674	16230	7814
675	16257	7791
676	16282	7768
677	16308	7745
678	16332	7721
679	16354	7696
680	16376	7671
681	16398	7646
682	16421	7621
683	16442	7596
684	16466	7572
685	16487	7546
686	16510	7522
687	16535	7498
688	16557	7473
689	16577	7447
690	16602	7424
691	16624	7399
692	16646	7374
693	16669	7349
694	16692	7325
695	16718	7302
696	16742	7278
697	16766	7254
698	16791	7230
699	16818	7208
700	16844	7184
701	16872	7162
702	16898	7139
703	16924	7116
704	16951	7092
705	16981	7071
706	17011	7050
707	17036	7026
708	17068	7005
709	17101	6985
710	17132	6964
711	17158	6940
712	17187	6918
713	17214	6895
714	17240	6872
715	17262	6846
716	17284	6822
717	17312	6799
718	17336	6775
719	17362	6752
720	17388	6728
721	17412	6704
722	17434	6679
723	17459	6655
724	17481	6631
725	17506	6607
726	17527	6581
727	17547	6556
728	17570	6531
729	17596	6508
730	17621	6484
731	17644	6459
732	17664	6434
733	17686	6409
734	17708	6384
735	17729	6359
736	17752	6334
737	17773	6309
738	17793	6284
739	17819	6260
740	17841	6236
741	17864	6211
742	17890	6188
743	17912	6163
744	17938	6139
745	17962	6115
746	17988	6092
747	18012	6068
748	18035	6044
749	18057	6019
750	18082	5995
751	18106	5971
752	18132	5947
753	18155	5923
754	18179	5899
755	18220	5880
756	18261	5862
757	18301	5843
758	18366	5831
759	18399	5810
760	18442	5791
761	18470	5769
762	18494	5744
763	18514	5719
764	18535	5693
765	18558	5669
766	18584	5645
767	18610	5622
768	18639	5599
769	18665	5575
770	18693	5552
771	18717	5527
772	18747	5505
773	18776	5482
774	18799	5457
775	18829	5435
776	18857	5412
777	18884	5388
778	18914	5366
779	18947	5344
780	18979	5322
781	19012	5300
782	19045	5278
783	19074	5255
784	19098	5230
785	19128	5207
786	19160	5185
787	19189	5162
788	19219	5139
789	19246	5116
790	19275	5093
791	19302	5069
792	19328	5045
793	19360	5022
794	19389	4999
795	19417	4976
796	19447	4953
797	19478	4930
798	19508	4907
799	19541	4885
800	19575	4863
801	19603	4839
802	19629	4815
803	19655	4791
804	19682	4767
805	19707	4743
806	19730	4718
807	19754	4694
808	19778	4669
809	19804	4645
810	19829	4621
811	19855	4597
812	19879	4572
813	19907	4548
814	19936	4525
815	19965	4502
816	19993	4478
817	20022	4454
818	20050	4431
819	20075	4406
820	20097	4381
821	20121	4357
822	20146	4332
823	20172	4308
824	20199	4284
825	20224	4260
826	20248	4235
827	20270	4210
828	20295	4186
829	20317	4161
830	20342	4137
831	20364	4112
832	20385	4086
833	20409	4062
834	20431	4037
835	20457	4013
836	20482	3988
837	20508	3964
838	20536	3940
839	20560	3916
840	20585	3891
841	20606	3866
842	20628	3841
843	20653	3817
844	20675	3792
845	20697	3767
846	20721	3743
847	20744	3718
848	20767	3693
849	20790	3668
850	20813	3644
851	20841	3620
852	20868	3596
853	20892	3571
854	20919	3547
855	20952	3524
856	20977	3500
857	21002	3476
858	21030	3452
859	21053	3427
860	21074	3402
861	21096	3377
862	21118	3352
863	21138	3327
864	21160	3302
865	21183	3277
866	21206	3253
867	21231	3228
868	21254	3204
869	21277	3179
870	21300	3154
871	21321	3129
872	21347	3105
873	21367	3080
874	21389	3055
875	21412	3031
876	21435	3006
877	21457	2981
878	21480	2956
879	21501	2931
880	21523	2907
881	21548	2882
882	21571	2858
883	21595	2833
884	21616	2808
885	21641	2784
886	21663	2759
887	21686	2735
888	21710	2710
889	21733	2686
890	21756	2661
891	21776	2636
892	21796	2611
893	21816	2586
894	21841	2562
895	21861	2537
896	21884	2512
897	21907	2488
898	21932	2464
899	21957	2439
900	21979	2415
901	22001	2390
902	22024	2365
903	22047	2341
904	22070	2316
905	22092	2292
906	22116	2267
907	22141	2243
908	22163	2218
909	22189	2194
910	22215	2170
911	22239	2145
912	22263	2121
913	22286	2097
914	22308	2072
915	22333	2048
916	22355	2023
917	22376	1998
918	22401	1974
919	22422	1949
920	22447	1925
921	22470	1900
922	22491	1876
923	22514	1851
924	22536	1827
925	22564	1803
926	22586	1778
927	22609	1754
928	22633	1729
929	22656	1705
930	22678	1680
931	22697	1656
932	22718	1631
933	22742	1607
934	22765	1582
935	22786	1558
936	22811	1533
937	22837	1509
938	22861	1485
939	22888	1460
940	22920	1437
941	22960	1413
942	23006	1390
943	23030	1366
944	23051	1341
945	23076	1317
946	23095	1292
947	23115	1267
948	23136	1243
949	23157	1218
950	23176	1194
951	23195	1169
952	23217	1145
953	23239	1120
954	23261	1096
955	23282	1071
956	23304	1047
957	23327	1022
958	23355	998
959	23396	974
960	23446	951
961	23483	927
962	23514	903
963	23542	879
964	23575	855
965	23597	830
966	23621	806
967	23644	781
968	23665	757
969	23686	732
970	23707	708
971	23729	683
972	23750	659
973	23772	634
974	23793	610
975	23815	585
976	23836	561
977	23858	536
978	23883	512
979	23906	487
980	23930	463
981	23951	439
982	23971	414
983	23995	390
984	24017	365
985	24039	341
986	24063	316
987	24084	292
988	24104	268
989	24126	243
990	24147	219
991	24166	194
992	24186	170
993	24207	146
994	24231	121
995	24252	97
996	24273	73
997	24296	48
998	24317	24
999	24341	0
